date,area,area_type,variant_name,specimens,percentage,specimens_7d_avg,percentage_7d_avg
2021-01-23,California,State,Gamma,0.0,0.0,0.28571428571,0.074626865672
2021-01-23,California,State,Lambda,0.0,0.0,0.0,0.0
2021-01-23,California,State,Omicron,0.0,0.0,0.57142857142,0.149253731343
2021-01-23,California,State,Epsilon,12.0,42.86,218.28571428571,57.014925373134
2021-01-23,California,State,Total,28.0,100.0,382.85714285714,100.0
2021-01-23,California,State,Other,5.0,17.86,149.28571428571,38.992537313433
2021-01-23,California,State,Delta,0.0,0.0,0.85714285714,0.223880597015
2021-01-23,California,State,Mu,0.0,0.0,0.0,0.0
2021-01-24,California,State,Epsilon,35.0,76.09,197.57142857142,57.290803645402
2021-01-24,California,State,Gamma,0.0,0.0,0.14285714285,0.041425020713
2021-01-24,California,State,Omicron,0.0,0.0,0.57142857142,0.16570008285
2021-01-24,California,State,Delta,0.0,0.0,0.85714285714,0.248550124275
2021-01-24,California,State,Other,4.0,8.7,131.57142857142,38.152444076222
2021-01-24,California,State,Mu,0.0,0.0,0.0,0.0
2021-01-24,California,State,Total,46.0,100.0,344.85714285714,100.0
2021-01-24,California,State,Alpha,7.0,15.22,14.14285714285,4.101077050539
2021-01-24,California,State,Lambda,0.0,0.0,0.0,0.0
2021-01-24,California,State,Beta,0.0,0.0,0.0,0.0
2021-01-25,California,State,Omicron,0.0,0.0,0.57142857142,0.227272727273
2021-01-25,California,State,Mu,0.0,0.0,0.0,0.0
2021-01-25,California,State,Beta,0.0,0.0,0.0,0.0
2021-01-25,California,State,Delta,0.0,0.0,0.57142857142,0.227272727273
2021-01-25,California,State,Epsilon,51.0,59.3,143.28571428571,56.988636363636
2021-01-25,California,State,Alpha,4.0,4.65,12.85714285714,5.113636363636
2021-01-25,California,State,Lambda,0.0,0.0,0.0,0.0
2021-01-25,California,State,Other,31.0,36.05,94.0,37.386363636364
2021-01-25,California,State,Total,86.0,100.0,251.42857142857,100.0
2021-01-25,California,State,Gamma,0.0,0.0,0.14285714285,0.056818181818
2021-01-26,California,State,Delta,1.0,0.17,0.57142857142,0.355239786856
2021-01-26,California,State,Epsilon,349.0,60.59,96.71428571428,60.1243339254
2021-01-26,California,State,Omicron,0.0,0.0,0.14285714285,0.088809946714
2021-01-26,California,State,Mu,0.0,0.0,0.0,0.0
2021-01-26,California,State,Lambda,0.0,0.0,0.0,0.0
2021-01-26,California,State,Other,217.0,37.67,51.85714285714,32.238010657194
2021-01-26,California,State,Total,576.0,100.0,160.85714285714,100.0
2021-01-26,California,State,Beta,0.0,0.0,0.0,0.0
2021-01-26,California,State,Gamma,0.0,0.0,0.14285714285,0.088809946714
2021-01-26,California,State,Alpha,9.0,1.56,11.42857142857,7.104795737123
2021-01-27,California,State,Gamma,0.0,0.0,0.0,0.0
2021-01-27,California,State,Alpha,12.0,1.7,11.0,4.861111111111
2021-01-27,California,State,Epsilon,463.0,65.67,141.0,62.310606060606
2021-01-27,California,State,Other,229.0,32.48,73.71428571428,32.575757575758
2021-01-27,California,State,Beta,0.0,0.0,0.0,0.0
2021-01-27,California,State,Omicron,0.0,0.0,0.0,0.0
2021-01-27,California,State,Mu,0.0,0.0,0.0,0.0
